NM_MUN,bacia,populacao,domestico_t_ano,reciclavel_t_ano,risco
Marema,Outras Bacias,2184.0,757.3019999999999,75.7302,BAIXO
Massaranduba,Outras Bacias,17162.0,5950.9235,595.09235,BAIXO
Matos Costa,Outras Bacias,2761.0,957.3767499999999,95.737675,BAIXO
Meleiro,Outras Bacias,7006.0,2429.3305,242.93305,BAIXO
Mirim Doce,Outras Bacias,2511.0,870.6892499999999,87.068925,BAIXO
Modelo,Outras Bacias,4080.0,1414.74,141.47400000000002,BAIXO
Mondaí,Outras Bacias,10066.0,3490.3854999999994,349.03855,BAIXO
Monte Carlo,Outras Bacias,9117.0,3161.31975,316.131975,BAIXO
Monte Castelo,Outras Bacias,7736.0,2682.458,268.24580000000003,BAIXO
Morro da Fumaça,Outras Bacias,18537.0,6427.704749999999,642.7704749999999,BAIXO
Morro Grande,Outras Bacias,3010.0,1043.7175,104.37175,BAIXO
Navegantes,Outras Bacias,86401.0,29959.54675,2995.9546750000004,BAIXO
Nova Erechim,Outras Bacias,5155.0,1787.49625,178.749625,BAIXO
Nova Itaberaba,Outras Bacias,4536.0,1572.858,157.2858,BAIXO
Nova Trento,Outras Bacias,13727.0,4759.83725,475.983725,BAIXO
Nova Veneza,Outras Bacias,13664.0,4737.992,473.79920000000004,BAIXO
Novo Horizonte,Outras Bacias,2643.0,916.46025,91.64602500000001,BAIXO
Orleans,Outras Bacias,23661.0,8204.45175,820.4451750000001,BAIXO
Otacílio Costa,Outras Bacias,17312.0,6002.935999999999,600.2935999999999,BAIXO
Ouro,Outras Bacias,7032.0,2438.346,243.83460000000002,BAIXO
Ouro Verde,Outras Bacias,2181.0,756.2617499999999,75.62617499999999,BAIXO
Paial,Outras Bacias,1927.0,668.18725,66.818725,BAIXO
Painel,Outras Bacias,2215.0,768.05125,76.805125,BAIXO
Palhoça,Bacia Litorânea Central,222598.0,77185.85649999998,7718.585649999998,MÉDIO
Palma Sola,Outras Bacias,7605.0,2637.03375,263.703375,BAIXO
Palmeira,Outras Bacias,2561.0,888.0267499999999,88.802675,BAIXO
Palmitos,Outras Bacias,15626.0,5418.3155,541.83155,BAIXO
Papanduva,Outras Bacias,19150.0,6640.2625,664.02625,BAIXO
Paraíso,Outras Bacias,4267.0,1479.5822499999997,147.95822499999997,BAIXO
Passo de Torres,Outras Bacias,12897.0,4472.03475,447.203475,BAIXO
Passos Maia,Outras Bacias,4034.0,1398.7895,139.87895,BAIXO
Paulo Lopes,Outras Bacias,9063.0,3142.59525,314.259525,BAIXO
Pedras Grandes,Outras Bacias,4245.0,1471.95375,147.19537499999998,BAIXO
Penha,Outras Bacias,33663.0,11672.64525,1167.264525,BAIXO
Peritiba,Outras Bacias,2992.0,1037.476,103.74760000000002,BAIXO
Pescaria Brava,Outras Bacias,10190.0,3533.3825,353.33825,BAIXO
Petrolândia,Outras Bacias,6716.0,2328.773,232.87730000000002,BAIXO
